question_id,image_width,image_height,image_tokens,multimodal_input_tokens,text_only_input_tokens,multimodal_processor_ms,text_only_processor_ms,multimodal_transfer_ms,text_only_transfer_ms,multimodal_forward_ms,text_only_forward_ms,vision_encoder_ms,multimodal_language_model_ms,text_only_language_model_ms,multimodal_other_ms,text_only_other_ms,visual_path_delta_ms,language_model_visual_token_delta_ms,multimodal_decode_ms,text_only_decode_ms,decode_visual_cache_delta_ms,multimodal_decode_ms_per_token,text_only_decode_ms_per_token
241,302,232,80,340,258,4.651458002626896,2.148583997040987,1.4982499997131526,0.9597919997759163,1169.3572500080336,647.720582986949,343.58079099911265,787.4980000196956,631.5116659970954,38.27845898922533,16.208916989853606,521.6366670210846,155.9863340226002,428.8660000311211,450.0545829650946,-21.18858293397352,61.2665714330173,64.29351185215637
252,302,232,80,360,278,4.8599999863654375,2.1584169880952686,5.503959022462368,0.9518330043647438,1190.636999992421,665.0450000015553,341.5148749772925,816.3380829792004,648.5614590055775,32.784042035927996,16.48354099597782,525.5919999908656,167.77662397362292,427.058583998587,465.3096249967348,-38.2510409981478,61.00836914265528,66.47280357096211
254,232,302,80,337,255,5.180083011509851,2.1878329862374812,1.5198750188574195,1.4789999986533076,1194.0347499912605,723.6077499983367,341.116041992791,802.9599580040667,704.5979999820702,49.95874999440275,19.00975001626648,470.4269999929238,98.36195802199654,504.88324905745685,461.1055010173004,43.77774804015644,72.12617843677955,65.87221443104292
256,302,232,80,363,281,3.1479159952141345,2.7172089903615415,1.4017499925103039,1.0331670055165887,1173.811584012583,723.0824169819243,306.69679201673716,824.860875000013,703.5699159896467,42.2539169958327,19.512500992277637,450.7291670306586,121.29095901036635,501.0729169298429,444.92037600139156,56.152540928451344,71.58184527569185,63.56005371448451
258,302,232,80,338,256,4.4864999945275486,1.8205830128863454,2.9557089728768915,0.8101249986793846,1168.49020801601,597.4678339844104,311.4269170037005,806.9464580039494,581.5194160095416,50.11683300836012,15.94841797486879,571.0223740315996,225.42704199440777,456.48070896277204,432.70779197337106,23.772916989400983,65.21152985182458,61.81539885333872
264,312,237,70,217,145,3.0853749776724726,1.4576250105164945,1.4690000098198652,1.0522090015001595,938.822625001194,540.5057079915423,319.95983398519456,556.7743330029771,522.5950830208603,62.08845801302232,17.910624970681965,398.31691700965166,34.179249982116744,496.7369160440285,449.60983298369683,47.12708306033164,70.96241657771836,64.22997614052812
267,512,398,192,274,80,3.8784589851275086,1.3259169936645776,1.7050000024028122,2.797791996272281,1604.6804579964373,471.8689169967547,808.7666250066832,721.7299160256516,453.0889999878127,74.18391696410254,18.779917008941993,1132.8115409996826,268.6409160378389,472.24916506092995,480.35462500411086,-8.105459943180904,67.46416643727571,68.62208928630155
269,202,202,64,214,148,3.3349579898640513,1.4489589957520366,1.4492500049527735,0.8210419910028577,953.596417006338,429.5595000148751,332.62716699391603,566.3724170008209,408.63845800049603,54.59683301160112,20.921042014379054,524.0369169914629,157.73395900032483,443.40225000632927,471.76808296353556,-28.365832957206294,63.343178572332754,67.39544042336222
274,202,202,64,165,99,3.0020829872228205,1.3969160208944231,1.4091669872868806,0.9517500002402812,684.0018749935552,293.8371670024935,243.0317499965895,397.89374999236315,275.51758399931714,43.076375004602596,18.319583003176376,390.16470799106173,122.37616599304602,454.0779599919915,419.2534160101786,34.824543981812894,64.86827999885593,59.89334514431123
278,202,202,64,169,103,2.964916988275945,1.2019580171909183,2.99912499031052,1.928542013047263,682.3553330032155,295.9722499945201,245.90841599274427,398.30091601470485,274.3337499850895,38.14600099576637,21.638500009430572,386.3830830086954,123.96716602961533,455.4844999220222,397.12233399040997,58.36216593161225,65.0692142745746,56.73176199863
